year,revenue_hkd_m,cost_of_revenue_hkd_m,gross_profit_hkd_m,operating_income_hkd_m,net_income_hkd_m,fuel_cost_hkd_m,staff_cost_hkd_m,depreciation_hkd_m,total_atk_m,cost_per_atk_with_fuel,cost_per_atk_without_fuel
2019,106973,97872,9101,3327,1691,29812,20125,15013,22100,4.43,3.08
2020,46934,55506,-8572,-11705,-21650,11379,15786,14599,9800,5.88,4.40
2021,45587,42415,3172,-450,-5527,7031,11298,12825,10200,5.19,3.93
2022,51036,43052,7984,3471,-6548,18200,14300,13100,13800,4.12,2.77
2023,94485,73785,20700,12999,9789,24800,17200,13500,21225,3.55,2.47
2024,104371,84306,20065,13177,9888,26100,18400,13800,24836,3.40,2.36
